"id","page_id","data_type_code"
307,21915,"MP4"
308,21874,"ZIP"
309,21906,"RSS+XML;CHARSET=UTF-"
310,21875,"ZIP"
311,21876,"ZIP"
312,21915,"MP4"
313,22891,"PDF"
314,21906,"RSS+XML;CHARSET=UTF-"
315,22751,"XML"
316,22983,"PDF"
317,22748,"XML;CHARSET=UTF-8"
318,22752,"XML; CHARSET=UTF-8"
319,22154,"OCTET-STREAM"
320,22749,"XML;CHARSET=UTF-8"
321,23043,"PDF"
322,21874,"ZIP"
323,22754,"XML; CHARSET=UTF-8"
324,23044,"PDF"
325,21876,"ZIP"
326,21875,"ZIP"
327,22156,"PDF"
328,23136,"JPEG"
329,22156,"PDF"
330,23045,"PDF"
331,23723,"ZIP"
332,22157,"OCTET-STREAM"
333,22157,"OCTET-STREAM"
334,22293,"RSS+XML; CHARSET=UTF"
335,23574,"JPEG"
336,24798,"PDF"
337,24838,"PDF"
338,23383,"PDF"
339,23384,"PDF"
340,25349,"XML"
341,22827,"PNG"
342,22828,"PNG"
343,24602,"PDF"
344,24602,"PDF"
345,24603,"PDF"
346,23137,"DOC"
347,23138,"DOC"
348,25351,"XML"
349,25301,"PDF"
350,22829,"PNG"
351,24840,"PDF"
352,24840,"PDF"
353,25472,"MSWORD"
354,25802,"XML"
355,23385,"PDF"
356,22830,"PNG"
357,24841,"PDF"
358,25809,"XML"
359,25804,"XML"
360,24842,"PDF"
361,26235,"PNG"
362,26237,"JPEG"
363,26236,"DOC"
364,26238,"PNG"
365,25812,"XML"
366,25821,"XML"
367,23386,"PDF"
368,24843,"PDF"
369,25805,"XML"
370,25823,"XML"
371,23387,"PDF"
372,25354,"XML"
373,22831,"PNG"
374,24844,"PDF"
375,24844,"PDF"
376,27081,"PDF"
377,23388,"PDF"
378,25356,"XML"
379,22832,"PNG"
380,22833,"PNG"
381,24845,"PDF"
382,26676,"PDF"
383,25807,"XML"
384,27094,"PDF"
385,23389,"PDF"
386,26150,"PDF"
387,22834,"PNG"
388,26598,"PDF"
389,24845,"PDF"
390,27282,"PDF"
391,25811,"XML"
392,23391,"PDF"
393,26588,"PDF"
394,24846,"PDF"
395,25215,"JPEG"
396,27701,"MP4"
397,25814,"XML"
398,25814,"XML"
399,27766,"PDF"
400,27340,"DOC"
401,26379,"PDF"
402,27082,"DOC"
403,23390,"PDF"
404,26605,"PNG"
405,28083,"PKIX-CRL"
406,22432,"PDF"
407,27334,"PDF"
408,24604,"PDF"
409,26672,"PDF"
410,25338,"XML"
411,31244,"MSWORD"
412,26381,"PDF"
413,26382,"DOC"
414,23392,"PDF"
415,24605,"PDF"
416,27291,"PDF"
417,27292,"PDF"
418,25340,"XML"
419,27966,"PDF"
420,26972,"PDF"
421,27083,"DOC"
422,23394,"PDF"
423,22835,"PNG"
424,34430,"JPEG"
425,27322,"PDF"
426,27335,"PDF"
427,25216,"JPEG"
428,24605,"PDF"
429,27283,"PNG"
430,27293,"PDF"
431,26677,"PDF"
432,25343,"XML"
433,35064,"MSWORD"
434,27767,"PDF"
435,27892,"DOC"
436,27943,"PDF"
437,27941,"PDF"
438,27084,"PDF"
439,27085,"PDF"
440,23393,"PDF"
441,22836,"PNG"
442,22837,"PNG"
443,28088,"PDF"
444,35736,"PDF"
445,27336,"PDF"
446,26611,"PNG"
447,27524,"PDF"
448,27695,"JPEG"
449,27696,"JPEG"
450,27698,"JPEG"
451,27697,"JPEG"
452,34987,"XML"
453,36125,"PKIX-CRL"
454,26223,"PDF"
455,27294,"PDF"
456,27295,"PDF"
457,25345,"XML"
458,27720,"DOC"
459,27720,"DOC"
460,27718,"DOC"
461,27718,"DOC"
462,36416,"PDF"
463,35065,"MSWORD"
464,25345,"XML"
465,27768,"PDF"
466,36571,"PNG"
467,28051,"JPEG"
468,22838,"PNG"
469,27524,"PDF"
470,35737,"PDF"
471,36752,"DOC"
472,25217,"JPEG"
473,26612,"PNG"
474,27525,"PDF"
475,24606,"PDF"
476,36835,"PNG"
477,34967,"PDF"
478,34968,"PDF"
479,37052,"PKIX-CRL"
480,37052,"PKIX-CRL"
481,27296,"DOC"
482,27723,"DOC"
483,27723,"DOC"
484,27086,"PDF"
485,22460,"JPEG"
486,36447,"PDF"
487,35738,"PDF"
488,34837,"DOC"
490,37598,"PDF"
494,36823,"PDF"
521,24607,"PDF"
552,27731,"DOC"
1561,39961,"ZIP"
1570,48520,"DOC"
1571,27925,"PDF"
1582,48404,"DOC"
1583,38532,"PDF"
1590,46256,"PDF"
1593,47387,"PDF"
1594,27265,"PDF"
1596,48449,"DOC"
1597,45339,"PDF"
1598,34853,"PDF"
1599,48261,"PDF"
1615,25522,"JPEG"
1648,27863,"PDF"
1658,38760,"DOC"
1659,38881,"PDF"
1660,49736,"JPEG"
1666,38587,"PDF"
1670,38646,"PDF"
1676,35890,"DOC"
1677,38852,"PDF"
1678,46685,"PDF"
1679,40035,"PDF"
1682,47180,"PDF"
1684,36470,"PDF"
1685,47344,"PDF"
1686,40206,"PDF"
1693,35099,"PDF"
1699,41044,"PDF"
1703,44800,"DOC"
1715,44944,"PDF"
1716,34854,"PDF"
1718,40034,"PDF"
1721,36253,"ZIP"
1722,41404,"DOC"
1728,39997,"DOC"
1730,45517,"DOC"
3074,25426,"PDF"
3075,27410,"MPEG"
3079,34840,"PDF"
3080,25123,"JPEG"
3082,38708,"DOC"
3083,36269,"JPEG"
3084,24746,"PDF"
3086,27858,"PDF"
3087,35186,"PDF"
3088,46295,"JPEG"
3089,45835,"XML"
3090,53315,"PDF"
3093,39940,"ZIP"
3094,36504,"JPEG"
3095,39848,"ZIP"
3100,39868,"ZIP"
3101,47397,"PDF"
3104,38939,"PDF"
3106,39188,"PDF"
3107,47118,"PDF"
3108,53448,"ZIP"
3111,45750,"XML"
3117,48013,"PDF"
3118,44809,"DOC"
3119,38581,"PDF"
3123,35978,"MSWORD"
3124,38194,"DOC"
3126,46207,"PDF"
3130,47837,"PDF"
3131,40983,"PNG"
3132,39843,"ZIP"
3134,45711,"XML"
3135,37040,"ZIP"
3136,25559,"JPEG"
3137,48233,"DOC"
3138,61304,"PDF"
4354,39926,"ZIP"
4365,38758,"DOC"
4366,56742,"PDF"
4368,38168,"PDF"
4377,44654,"DOC"
4379,51234,"PDF"
4382,23306,"PDF"
4570,38670,"PDF"
4571,69509,"X-RSS+XML"
4603,60617,"CSV;CHARSET=UTF-8"
4608,39807,"ZIP"
4609,38866,"PDF"
4610,27541,"PDF"
4616,58369,"PDF"
4617,44453,"PDF"
4619,73947,"PNG"
4621,53018,"DOC"
4657,38944,"PDF"
4672,76433,"PDF"
4685,70869,"PKCS12"
4686,76476,"DOC"
4696,59390,"DOC"
4726,72015,"PDF"
4739,69808,"PDF"
4746,58158,"CSV;CHARSET=UTF-8"
5011,67894,"JPEG"
5016,56470,"PDF"
5022,27928,"PDF"
5047,79006,"PDF"
5050,44640,"JPEG"
5052,41016,"DOC"
5059,36281,"JPEG"
5065,53458,"ZIP"
5086,39886,"ZIP"
5093,62599,"PDF"
5097,48187,"DOC"
5108,35871,"MSWORD"
5110,68241,"PNG"
5112,68247,"PDF"
5115,68261,"PDF"
5123,71570,"PNG"
5155,78578,"CSV"
5187,77926,"DOC"
5189,44494,"PDF"
5201,71519,"JPEG"
5224,78964,"PLAIN"
5236,65438,"JPEG"
5237,69510,"XML"
5250,58155,"PNG"
5258,66868,"JPEG"
5259,66879,"MSWORD"
5269,78681,"PDF"
5281,76396,"PNG"
5282,55186,"XML"
5537,79107,"MSWORD"
5538,69551,"JPEG"
5552,58406,"DOC"
5563,74177,"X-RPM"
5568,80868,"XML;CHARSET=UTF-8"
5572,46170,"PDF"
5573,31499,"PDF"
5576,47473,"PDF"
5589,77771,"DOC"
5595,68118,"JPEG"
5597,56550,"PDF"
5605,68251,"PDF"
5606,68269,"PNG"
5615,75778,"JSON"
5616,71575,"PNG"
5617,71710,"PNG"
5618,27895,"DOC"
5652,78242,"MSWORD"
5653,76182,"XML"
5654,78628,"MSWORD"
5656,78688,"PDF"
5657,81645,"JPEG"
5668,55992,"PDF"
5676,67901,"JPEG"
5677,56551,"PDF"
5680,64394,"PDF"
5686,56669,"JPEG"
5689,68270,"PNG"
5690,64629,"CSV;CHARSET=UTF-8"
5709,81525,"PNG"
5725,82951,"CSV;CHARSET=UTF-8"
5728,53808,"PDF"
5729,76074,"PDF"
5730,58606,"ATOM+XML"
5731,58771,"JPEG"
5732,78689,"VND.MS-EXCEL"
5739,59099,"CSV;CHARSET=UTF-8"
